run,policy,cost,time_sec
1,AIPSA-GM (random),71.1045,9.94
1,AIPSA-GM (best_only),97.166,10.33
1,AIPSA-GM (quality_only),89.8806,9.61
1,AIPSA-GM (guided),83.0061,9.6
2,AIPSA-GM (random),76.8781,9.69
2,AIPSA-GM (best_only),80.0485,10.31
2,AIPSA-GM (quality_only),68.1465,9.7
2,AIPSA-GM (guided),74.4992,10.56
3,AIPSA-GM (random),84.0363,9.91
3,AIPSA-GM (best_only),69.7993,9.61
3,AIPSA-GM (quality_only),76.5959,9.5
3,AIPSA-GM (guided),72.1519,9.78
4,AIPSA-GM (random),101.8223,9.35
4,AIPSA-GM (best_only),67.3468,9.38
4,AIPSA-GM (quality_only),85.7522,9.3
4,AIPSA-GM (guided),81.6257,9.4
5,AIPSA-GM (random),90.3331,9.3
5,AIPSA-GM (best_only),57.3574,9.25
5,AIPSA-GM (quality_only),89.5956,9.3
5,AIPSA-GM (guided),86.9247,9.37
6,AIPSA-GM (random),68.587,9.28
6,AIPSA-GM (best_only),74.3295,9.35
6,AIPSA-GM (quality_only),79.4131,9.35
6,AIPSA-GM (guided),90.4264,9.34
7,AIPSA-GM (random),63.4033,9.31
7,AIPSA-GM (best_only),77.9997,9.3
7,AIPSA-GM (quality_only),43.6425,9.4
7,AIPSA-GM (guided),64.837,9.38
8,AIPSA-GM (random),58.0419,9.92
8,AIPSA-GM (best_only),88.5729,9.3
8,AIPSA-GM (quality_only),76.662,9.26
8,AIPSA-GM (guided),79.4609,9.34
9,AIPSA-GM (random),84.1028,9.29
9,AIPSA-GM (best_only),75.7358,9.28
9,AIPSA-GM (quality_only),59.2022,9.31
9,AIPSA-GM (guided),79.9144,9.35
10,AIPSA-GM (random),84.5803,9.25
10,AIPSA-GM (best_only),73.8917,9.76
10,AIPSA-GM (quality_only),54.1169,9.45
10,AIPSA-GM (guided),69.2848,9.32
