run,solver,cost,time_sec
1,AIPSA-GM (fixed cooling),29086.3824,18.63
1,AIPSA-GM (adaptive cooling),37436.398,22.86
2,AIPSA-GM (fixed cooling),29689.6494,18.46
2,AIPSA-GM (adaptive cooling),37181.7238,23.03
3,AIPSA-GM (fixed cooling),29329.6698,18.92
3,AIPSA-GM (adaptive cooling),36335.6536,23.2
4,AIPSA-GM (fixed cooling),29314.7057,18.8
4,AIPSA-GM (adaptive cooling),37336.3879,23.39
5,AIPSA-GM (fixed cooling),30570.0966,18.73
5,AIPSA-GM (adaptive cooling),37206.9006,23.27
