run,solver,cost,time_sec
1,Baseline B (sync),5.6937,3.05
1,AIPSA-GM (async),6.9707,4.69
2,Baseline B (sync),13.9188,3.0
2,AIPSA-GM (async),4.9127,4.72
3,Baseline B (sync),3.4803,3.0
3,AIPSA-GM (async),2.9985,4.62
4,Baseline B (sync),6.6068,3.04
4,AIPSA-GM (async),5.369,4.7
5,Baseline B (sync),5.5409,3.08
5,AIPSA-GM (async),4.2129,4.71
