run,solver,cost,time_sec
1,Serial SA,11496.1096,3.07
1,Baseline A,11291.2864,3.43
1,Baseline B,11183.7582,3.68
1,AIPSA-GM,11604.987,4.16
2,Serial SA,11427.4791,3.07
2,Baseline A,11427.4791,3.37
2,Baseline B,11438.5494,3.66
2,AIPSA-GM,11887.2116,4.21
3,Serial SA,11728.5629,3.08
3,Baseline A,11387.1504,3.38
3,Baseline B,11438.0007,3.68
3,AIPSA-GM,11061.1536,4.18
4,Serial SA,12002.855,3.1
4,Baseline A,11410.3511,3.37
4,Baseline B,11794.2399,3.62
4,AIPSA-GM,11292.8903,4.19
5,Serial SA,11747.7886,3.05
5,Baseline A,11702.723,3.39
5,Baseline B,11450.1599,3.68
5,AIPSA-GM,11524.7953,4.15
