run,policy,cost,time_sec
1,AIPSA-GM (random),35510.4034,13.23
1,AIPSA-GM (best_only),34136.3773,12.92
1,AIPSA-GM (quality_only),34309.5407,14.31
1,AIPSA-GM (guided),34288.4921,14.35
2,AIPSA-GM (random),36456.0265,13.29
2,AIPSA-GM (best_only),34883.5481,13.14
2,AIPSA-GM (quality_only),35242.6513,14.59
2,AIPSA-GM (guided),34558.6333,14.06
3,AIPSA-GM (random),34862.4086,12.32
3,AIPSA-GM (best_only),34604.8745,12.3
3,AIPSA-GM (quality_only),34643.1817,14.0
3,AIPSA-GM (guided),35262.9175,13.91
4,AIPSA-GM (random),35984.4687,12.24
4,AIPSA-GM (best_only),34157.46,12.43
4,AIPSA-GM (quality_only),34669.4393,13.86
4,AIPSA-GM (guided),34680.2088,13.93
5,AIPSA-GM (random),36564.0171,12.34
5,AIPSA-GM (best_only),34722.815,12.33
5,AIPSA-GM (quality_only),35649.0244,13.83
5,AIPSA-GM (guided),35708.3025,13.86
