run,solver,cost,time_sec
1,Serial SA,60561.0548,8.66
1,Baseline A,60561.0548,9.99
1,Baseline B,57642.5685,10.02
1,AIPSA-GM,40810.3429,12.32
2,Serial SA,62462.6081,8.48
2,Baseline A,61089.8764,11.22
2,Baseline B,57680.1634,11.1
2,AIPSA-GM,41509.5404,10.98
3,Serial SA,63072.061,8.5
3,Baseline A,60279.381,11.38
3,Baseline B,57915.5541,10.44
3,AIPSA-GM,40019.0078,10.96
4,Serial SA,60082.1061,10.0
4,Baseline A,60082.1061,10.18
4,Baseline B,57775.4088,11.42
4,AIPSA-GM,40646.27,12.31
5,Serial SA,62107.7241,9.17
5,Baseline A,60470.9717,9.95
5,Baseline B,57820.5262,10.65
5,AIPSA-GM,40486.3111,11.81
