run,solver,cost,time_sec
40,Baseline B,6.8705,1.6
40,AIPSA-GM,4.4707,1.99
41,Serial SA,27.1468,1.03
41,Baseline A,14.9467,1.37
41,Baseline B,4.7885,1.63
41,AIPSA-GM,2.3608,2.01
42,Serial SA,21.5511,1.04
42,Baseline A,7.983,1.36
42,Baseline B,5.3927,1.59
42,AIPSA-GM,7.3747,2.0
43,Serial SA,12.2132,1.04
43,Baseline A,18.2584,1.34
43,Baseline B,6.134,1.58
43,AIPSA-GM,5.1547,1.98
44,Serial SA,16.7396,1.04
44,Baseline A,14.3384,1.36
44,Baseline B,4.886,1.64
44,AIPSA-GM,5.8046,2.0
45,Serial SA,30.1815,1.03
45,Baseline A,12.7138,1.32
45,Baseline B,5.9728,1.57
45,AIPSA-GM,5.6143,1.98
46,Serial SA,12.8941,1.04
46,Baseline A,8.1463,1.31
46,Baseline B,7.0485,1.61
46,AIPSA-GM,4.5989,1.98
47,Serial SA,14.7211,1.04
47,Baseline A,10.6623,1.31
47,Baseline B,6.8452,1.62
47,AIPSA-GM,2.824,1.98
48,Serial SA,24.6574,1.09
48,Baseline A,18.9317,1.31
48,Baseline B,3.9382,1.61
48,AIPSA-GM,4.4408,1.99
49,Serial SA,22.0628,1.03
49,Baseline A,13.456,1.34
49,Baseline B,8.8306,1.61
49,AIPSA-GM,4.3851,2.0
50,Serial SA,21.7514,1.04
50,Baseline A,24.5708,1.36
50,Baseline B,5.5456,1.64
50,AIPSA-GM,3.6073,2.04
