run,policy,cost,time_sec
1,AIPSA-GM (random),73281.5509,32.24
1,AIPSA-GM (best_only),71988.7636,32.27
1,AIPSA-GM (quality_only),72752.9397,32.36
1,AIPSA-GM (guided),70788.1186,37.44
2,AIPSA-GM (random),75007.6561,32.19
2,AIPSA-GM (best_only),71553.9979,32.29
2,AIPSA-GM (quality_only),71619.6251,32.62
2,AIPSA-GM (guided),72138.0926,37.27
3,AIPSA-GM (random),74328.4185,32.29
3,AIPSA-GM (best_only),71724.0778,32.46
3,AIPSA-GM (quality_only),72464.1981,32.29
3,AIPSA-GM (guided),70340.5087,37.16
4,AIPSA-GM (random),73669.2483,32.37
4,AIPSA-GM (best_only),70694.9927,32.39
4,AIPSA-GM (quality_only),71336.9268,32.49
4,AIPSA-GM (guided),70573.8071,37.13
5,AIPSA-GM (random),74862.6942,32.3
5,AIPSA-GM (best_only),71017.4142,32.68
5,AIPSA-GM (quality_only),72129.1796,32.12
5,AIPSA-GM (guided),70225.7634,37.09
6,AIPSA-GM (random),73998.8639,31.98
6,AIPSA-GM (best_only),71197.2991,31.95
6,AIPSA-GM (quality_only),72036.6316,32.24
6,AIPSA-GM (guided),71619.6124,37.4
7,AIPSA-GM (random),74244.9978,31.97
7,AIPSA-GM (best_only),71481.8439,32.55
7,AIPSA-GM (quality_only),72061.0271,32.48
7,AIPSA-GM (guided),73241.2811,37.15
8,AIPSA-GM (random),74854.3255,32.35
8,AIPSA-GM (best_only),72083.5744,32.41
8,AIPSA-GM (quality_only),70655.5419,32.26
8,AIPSA-GM (guided),71920.5792,37.16
9,AIPSA-GM (random),74225.7477,32.57
9,AIPSA-GM (best_only),71030.1894,33.63
9,AIPSA-GM (quality_only),71353.8666,32.31
9,AIPSA-GM (guided),71011.0712,37.09
10,AIPSA-GM (random),75085.0827,32.49
10,AIPSA-GM (best_only),72488.4149,32.2
10,AIPSA-GM (quality_only),72374.2971,32.32
10,AIPSA-GM (guided),71553.49,37.37
