run,policy,cost,time_sec
1,AIPSA-GM (random),3.6013,5.2
1,AIPSA-GM (best_only),4.2489,5.2
1,AIPSA-GM (quality_only),3.7684,5.32
1,AIPSA-GM (guided),4.4286,5.25
2,AIPSA-GM (random),3.7951,5.51
2,AIPSA-GM (best_only),2.5658,5.69
2,AIPSA-GM (quality_only),3.9475,5.37
2,AIPSA-GM (guided),4.6226,4.99
3,AIPSA-GM (random),4.7645,4.96
3,AIPSA-GM (best_only),4.0346,5.3
3,AIPSA-GM (quality_only),5.0281,5.21
3,AIPSA-GM (guided),6.9639,5.28
4,AIPSA-GM (random),4.4829,5.19
4,AIPSA-GM (best_only),2.706,5.24
4,AIPSA-GM (quality_only),6.6173,6.25
4,AIPSA-GM (guided),3.5818,5.58
5,AIPSA-GM (random),4.246,5.19
5,AIPSA-GM (best_only),3.3231,5.21
5,AIPSA-GM (quality_only),3.8341,4.99
5,AIPSA-GM (guided),3.5307,4.87
6,AIPSA-GM (random),4.9151,5.6
6,AIPSA-GM (best_only),7.9635,5.21
6,AIPSA-GM (quality_only),3.8845,5.85
6,AIPSA-GM (guided),3.6308,4.83
7,AIPSA-GM (random),4.77,5.16
7,AIPSA-GM (best_only),10.2546,4.87
7,AIPSA-GM (quality_only),4.5387,5.1
7,AIPSA-GM (guided),3.3512,5.44
8,AIPSA-GM (random),2.751,5.12
8,AIPSA-GM (best_only),3.8013,5.12
8,AIPSA-GM (quality_only),5.6029,5.08
8,AIPSA-GM (guided),4.3028,4.97
9,AIPSA-GM (random),4.758,5.08
9,AIPSA-GM (best_only),2.4923,5.24
9,AIPSA-GM (quality_only),6.2031,5.02
9,AIPSA-GM (guided),5.752,4.87
10,AIPSA-GM (random),1.6409,4.95
10,AIPSA-GM (best_only),7.0263,4.86
10,AIPSA-GM (quality_only),4.729,4.94
10,AIPSA-GM (guided),4.7372,5.03
