run,solver,cost,time_sec
1,Serial SA,5781.9964,3.01
1,Baseline A,5707.7213,3.27
1,Baseline B,5716.5861,5.63
1,AIPSA-GM,5630.2301,3.9
2,Serial SA,5917.231,2.99
2,Baseline A,5917.231,3.31
2,Baseline B,5825.6229,5.63
2,AIPSA-GM,5839.7509,3.78
3,Serial SA,5802.862,2.95
3,Baseline A,5802.862,3.3
3,Baseline B,5822.9335,5.59
3,AIPSA-GM,5849.1978,3.88
4,Serial SA,5556.2607,2.95
4,Baseline A,5532.1363,3.2
4,Baseline B,5417.029,5.58
4,AIPSA-GM,5417.029,3.79
5,Serial SA,5621.2878,2.94
5,Baseline A,5621.2878,3.28
5,Baseline B,5655.2186,5.53
5,AIPSA-GM,5502.5162,3.8
