n_islands,solver,mean_cost,best_cost,mean_time
2,Serial SA,98.5181,66.5872,4.34
2,Baseline A,98.5532,64.7161,4.66
2,Baseline B,82.2592,64.1688,7.71
2,AIPSA-GM (guided),81.8707,57.1517,8.73
4,Serial SA,98.5181,66.5872,4.35
4,Baseline A,93.8095,72.1184,4.85
4,Baseline B,71.7895,54.4958,8.08
4,AIPSA-GM (guided),77.3678,55.8208,9.18
8,Serial SA,98.5181,66.5872,4.36
8,Baseline A,83.0807,62.6371,5.38
8,Baseline B,68.6843,43.8762,10.11
8,AIPSA-GM (guided),68.4952,52.8273,11.81
16,Serial SA,98.5181,66.5872,4.35
16,Baseline A,79.0406,69.0418,7.37
16,Baseline B,61.6136,45.7583,14.27
16,AIPSA-GM (guided),60.7593,54.3002,33.35
