run,policy,cost,time_sec
1,AIPSA-GM (random),89.6409,9.13
1,AIPSA-GM (best_only),77.4429,13.2
1,AIPSA-GM (quality_only),53.3991,8.92
1,AIPSA-GM (guided),75.938,8.99
2,AIPSA-GM (random),75.3209,8.93
2,AIPSA-GM (best_only),61.9774,8.96
2,AIPSA-GM (quality_only),69.7232,8.97
2,AIPSA-GM (guided),64.2144,9.05
3,AIPSA-GM (random),67.9277,9.0
3,AIPSA-GM (best_only),66.7925,8.94
3,AIPSA-GM (quality_only),75.2608,9.0
3,AIPSA-GM (guided),71.8287,9.01
4,AIPSA-GM (random),97.5901,8.94
4,AIPSA-GM (best_only),70.4636,8.97
4,AIPSA-GM (quality_only),68.4166,8.91
4,AIPSA-GM (guided),66.7343,9.02
5,AIPSA-GM (random),73.7544,9.02
5,AIPSA-GM (best_only),78.5017,8.96
5,AIPSA-GM (quality_only),69.9653,8.97
5,AIPSA-GM (guided),68.905,8.98
6,AIPSA-GM (random),61.8754,8.92
6,AIPSA-GM (best_only),80.9337,8.96
6,AIPSA-GM (quality_only),60.1281,8.98
6,AIPSA-GM (guided),60.894,8.99
7,AIPSA-GM (random),72.2978,9.0
7,AIPSA-GM (best_only),70.3846,8.99
7,AIPSA-GM (quality_only),75.3085,8.99
7,AIPSA-GM (guided),52.8561,9.0
8,AIPSA-GM (random),85.5646,8.98
8,AIPSA-GM (best_only),56.6473,9.01
8,AIPSA-GM (quality_only),93.1267,8.93
8,AIPSA-GM (guided),81.906,9.03
9,AIPSA-GM (random),59.9447,8.96
9,AIPSA-GM (best_only),72.4548,8.94
9,AIPSA-GM (quality_only),77.3621,8.96
9,AIPSA-GM (guided),67.3577,9.02
10,AIPSA-GM (random),67.2909,8.93
10,AIPSA-GM (best_only),65.309,8.94
10,AIPSA-GM (quality_only),48.4313,8.95
10,AIPSA-GM (guided),56.3162,9.09
