n_cities,cpu_cost,gpu_cost,quality_gain_pct
500,18695.1,17721.4,5.21
1000,29136.9,27652.5,5.09
2000,83257.4,74147.5,10.94
3000,178691.6,170291.0,4.7
5000,503093.6,482514.4,4.09
8000,1340587.8,1171442.1,12.62
10000,2207466.5,1845051.2,16.42
